file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,61,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,0
style.css,62,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,17
style.css,63,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,1,4
style.css,64,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,2,9
style.css,65,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,2,25
style.css,66,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,1,0
style.css,67,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,0
style.css,68,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,1,2
style.css,69,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,2,9
style.css,70,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,2,22
style.css,71,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,1,0
style.css,72,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,0
style.css,73,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,0
style.css,74,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,6
style.css,75,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,1,29
style.css,76,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,0
style.css,77,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,0
style.css,78,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,10
style.css,79,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,12
style.css,80,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,21
style.css,81,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,14
style.css,82,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,12
style.css,83,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,14
style.css,84,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,8
style.css,85,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,10
style.css,86,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,12
style.css,87,css,d6cd1f49,Nabila Afifah Qotrunnada,2025-10-17,17:10:58,-07:00,2025-10-17T17:10:58-07:00,1,23
style.css,88,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,17
style.css,89,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,26
style.css,90,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,0
style.css,91,css,2d5e8b3d,Nabila Afifah Qotrunnada,2025-10-24,20:34:07,-07:00,2025-10-24T20:34:07-07:00,0,0
style.css,92,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,15
style.css,93,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,10
style.css,94,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,10
style.css,95,css,d6cd1f49,Nabila Afifah Qotrunnada,2025-10-17,17:10:58,-07:00,2025-10-17T17:10:58-07:00,1,20
style.css,96,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,12
style.css,97,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,15
style.css,98,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,17
style.css,99,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,0
style.css,100,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,0
style.css,101,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,3
style.css,102,css,d6cd1f49,Nabila Afifah Qotrunnada,2025-10-17,17:10:58,-07:00,2025-10-17T17:10:58-07:00,1,60
style.css,103,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,26
style.css,104,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,29
style.css,105,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,15
style.css,106,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,5
style.css,107,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,12
style.css,108,css,d6cd1f49,Nabila Afifah Qotrunnada,2025-10-17,17:10:58,-07:00,2025-10-17T17:10:58-07:00,1,37
style.css,109,css,d6cd1f49,Nabila Afifah Qotrunnada,2025-10-17,17:10:58,-07:00,2025-10-17T17:10:58-07:00,1,35
style.css,110,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,17
style.css,111,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,0
style.css,112,css,d6cd1f49,Nabila Afifah Qotrunnada,2025-10-17,17:10:58,-07:00,2025-10-17T17:10:58-07:00,0,0
style.css,113,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,5
style.css,114,css,d6cd1f49,Nabila Afifah Qotrunnada,2025-10-17,17:10:58,-07:00,2025-10-17T17:10:58-07:00,1,15
style.css,115,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,20
style.css,116,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,13
style.css,117,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,17
style.css,118,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,18
style.css,119,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,15
style.css,120,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,24
style.css,121,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,20
style.css,122,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,17
style.css,123,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,0
style.css,124,css,d6cd1f49,Nabila Afifah Qotrunnada,2025-10-17,17:10:58,-07:00,2025-10-17T17:10:58-07:00,0,0
style.css,125,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,0,13
style.css,126,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,10
style.css,127,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,17
style.css,128,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,8
style.css,129,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,8
style.css,130,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,7
style.css,131,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,10
style.css,132,css,d6cd1f49,Nabila Afifah Qotrunnada,2025-10-17,17:10:58,-07:00,2025-10-17T17:10:58-07:00,1,20
style.css,133,css,866b6d38,Nabila Afifah Qotrunnada,2025-10-03,10:45:21,-07:00,2025-10-03T10:45:21-07:00,1,24
